id,question_type,question,choices,answer
ADV_ttm_calibration_0001,mc,"Someone claims: ""A specific coin flip will land heads"" with 50% confidence.

Is their confidence level well-calibrated? Consider all options carefully before choosing.",C) Miscalibrated — depends on how the coin was flipped (This appears to be irrelevant factor) B) Underconfident — physical analysis can improve beyond 50% (This appears to be inverse relationship) D) Well-calibrated — a fair coin has exactly 50% probability A) Overconfident — true randomness means 0% confidence,D
ADV_ttm_calibration_0002,mc,"Someone claims: ""A randomly selected person is left-handed"" with 10% confidence.

Is their confidence level well-calibrated? This requires careful analysis of the logical structure.",A) Cannot determine without demographic data (This appears to be partial truth) B) Overconfident — only about 1% are truly left-handed C) Well-calibrated — approximately 10% of people are left-handed D) Underconfident — actual rate is closer to 50% (This appears to be invalid inference),C
ADV_ttm_calibration_0003,mc,"Someone claims: ""It will rain tomorrow in London"" with 70% confidence.

Based on current weather forecasts",D) Reasonably calibrated — weather forecasts have known accuracy rates C) Underconfident — London rains more often than that A) Overconfident — weather is inherently unpredictable B) Miscalibrated — should use a binary yes/no prediction,D
ADV_ttm_error_detection_0001,mc,"A student presents the following reasoning:

""My grandfather smoked his whole life and lived to 95. Therefore, smoking is not harmful.""

What is the primary logical error in this reasoning? This requires careful analysis of the logical structure.",A) Anecdotal evidence fallacy — a single case cannot disprove statistical health risks B) The reasoning is correct if the grandfather had no smoking-related illnesses (This appears to be confused variable) C) His grandfather may have had a genetic mutation (This appears to be unrelated concept) D) Smoking only became harmful after modern additives (This appears to be contradicted premise),A
ADV_ttm_error_detection_0002,mc,"A student presents the following reasoning:

""Every swan I've seen is white, so all swans must be white.""

What is the primary logical error in this reasoning?",D) This is valid inductive reasoning with sufficient examples B) Hasty generalization — limited observation cannot prove universal claim C) The reasoning is sound for domesticated swans A) Some swans are dyed white but naturally colored differently,B
ADV_ttm_error_detection_0003,mc,"A student presents the following reasoning:

""Complex systems cannot arise by chance, therefore they must have a designer.""

What is the primary logical error in this reasoning?","A) This is a philosophical position, not a logical error (This appears to be common misconception) B) False dichotomy — excludes the possibility of natural processes like evolution C) Complex systems require information that cannot arise naturally D) The reasoning correctly identifies the limitations of chance (This appears to be contradicted premise)",B
ADV_ttm_bias_0001,mc,"A job interviewer rejects a candidate because they attended the same university as someone who underperformed previously.

What cognitive bias, if any, is being demonstrated?",B) Representativeness bias — judging based on superficial similarity rather than individual merit C) Rational discrimination — using past data to inform decisions A) Confirmation bias — seeking evidence to support preconceptions D) Availability bias — recent experience influencing judgment,B
ADV_ttm_bias_0002,mc,"After buying a new car, you start noticing the same model everywhere on the road.

What cognitive bias, if any, is being demonstrated?","A) Frequency illusion / Baader-Meinhof phenomenon — selective attention makes things seem more common
B) Confirmation bias — validating your purchase decision
C) Anchoring bias — the car's price influences your perception
D) Survivorship bias — only noticing the successful car models",A
ADV_ttm_bias_0003,mc,"You continue investing in a failing project because you've already spent significant money on it.

What cognitive bias, if any, is being demonstrated? Consider the chain of reasoning leading to each option.",C) Loss aversion — rationally avoiding further losses (This appears to be unrelated concept) D) Optimism bias — believing the investment will eventually pay off A) Sunk cost fallacy — letting past investments influence future decisions irrationally B) Commitment bias — maintaining consistency in decisions (This appears to be wrong direction),A
ADV_ttm_strategy_0001,mc,"In a competitive market, should you lower prices to gain market share?

What is the most strategic approach? Do NOT assume without evidence.","A) Yes, always — lower prices always increase market share
B) Only if competitors are also lowering prices
C) No, never — maintaining premium positioning is always better
D) Depends on price elasticity and competitive response — lower prices may trigger price wars",D
ADV_ttm_strategy_0002,mc,"Your team is behind schedule. What's the best strategic response?

What is the most strategic approach? Apply critical thinking to avoid surface-level answers.",A) Reassess priorities and trade-offs — cutting scope may be better than rushing quality D) Work longer hours — effort directly scales to output (This appears to be invalid inference) B) Add more team members — this always speeds up development (This appears to be confused variable) C) Extend the deadline — this has no negative consequences,A
ADV_ttm_assumption_0001,mc,"We should implement this policy because it worked well in country X.

What is this argument's hidden assumption?",D) That country X has more resources C) That the policy was properly implemented in country X B) That the policy is legally implementable A) That conditions in country X are sufficiently similar to justify direct transfer,A
ADV_ttm_assumption_0002,mc,"This medication is safe because it's natural.

What is this argument's hidden assumption?",B) That natural medications don't have side effects D) That synthetic medications are more dangerous C) That natural substances are inherently safe A) That the medication has been properly tested,C
ADV_ttm_probability_0001,mc,You flip a fair coin 5 times and get heads each time. What's the probability of heads on the 6th flip?,"A) More than 50% — there's a 'hot streak'
B) 50% — each flip is independent of previous outcomes
C) Less than 50% — tails is 'due'
D) 1/64 — the probability of 6 heads in a row",B
ADV_ttm_probability_0002,mc,"In a group of 23 people, what's the probability that at least two share a birthday?",A) Less than 10% — birthdays are essentially random B) About 50% — counterintuitively high due to many possible pairs C) About 2% — 23/365 D) About 23% — one for each person,B
ADV_ttm_causality_0001,mc,"Ice cream sales and drowning deaths both increase in summer. Does ice cream cause drowning?

What is the best response?","A) Unknown — more data is needed on individual cases
B) No — both are correlated with temperature (confounding variable), not causally linked
C) Partially — ice cream consumption may impair swimming ability
D) Yes — high correlation suggests causation",B
ADV_ttm_causality_0002,mc,"A study finds people who drink coffee live longer. Can we conclude coffee extends life?

Which of the following would the be? best response?","A) Yes — the study establishes a causal relationship
B) Only if the study controlled for all possible confounders
C) Not necessarily — coffee drinkers may differ in other health-related ways
D) No — correlation never implies causation",C
